t,iL,vC,Vsw,Vin
0.005735002615624995,0.97705317,4.582822,-0.8332453,10.0
0.005736269099999987,0.94637096,4.5835953,-0.83235425,10.0
0.005737535584374979,0.91569084,4.58384,-0.8315092,10.0
0.005739295584374969,0.87306476,4.583307,-0.8302762,10.0
0.005739999000000001,0.85603315,4.582811,-0.82976663,10.0
0.0057399999999999994,0.856015,4.58281,1.8774613,10.0
0.005740001,0.85601705,4.582809,6.3895073,10.0
0.0057400030000000005,0.85605747,4.5828075,9.999144,10.0
0.005741267499999994,0.88668525,4.5820346,9.999113,10.0
0.005742531999999987,0.9173156,4.5817885,9.999083,10.0
0.005744391999999976,0.9623693,4.5823793,9.999038,10.0
0.005745001,0.97711897,4.5828185,9.9990225,10.0
0.005745001599999308,0.97713345,4.582819,9.9990225,10.0
0.005745001599999725,0.97713345,4.582819,9.9990225,10.0
0.005745001599999963,0.97713345,4.582819,9.9990225,10.0
0.005745001599999974,0.97713345,4.582819,9.9990225,10.0
0.005745001599999994,0.97713345,4.582819,9.9990225,10.0
0.005745002599999994,0.9771092,4.58282,-0.74992275,10.0
0.0057450026156249945,0.97710884,4.58282,-0.83324677,10.0
0.005746349099999986,0.9444886,4.5836253,-0.83230275,10.0
0.005747695584374978,0.9118709,4.5838337,-0.83140105,10.0
0.005749325584374968,0.87239397,4.5832906,-0.83025634,10.0
